Date,Amount Salary,Amount BankSC,13 Drews Ct.,Work Related/Other,Description,Description II,Receipt Group,,,,,,,,,,,,,,
1/10/2014,-6.63,,,,Restaurant Meal,Jimmy Johns,,,,,,,,,,,,,,,
1/12/2014,-20.57,,,,Restaurant Meal,Saffron-brunch,,,,,,,,,,,,,,,
1/12/2014,,,,,Gas,10-cash,,,,,,,,,,,,,,,
1/11/2014,,,,,Bar,80-cash-breweries,,,,,,,,,,,,,,,
1/14/2014,-36.61,,,,Gas,,,,,,,,,,,,,,,,
1/15/2014,-77.05,,,,Education,welding gear-lowes,,,,,,,,,,,,,,,
1/15/2014,-47.18,,,,Education,welding-gear-walmaer,,,,,,,,,,,,,,,
1/15/2014,-58.84,,,,Education,welding gear-northern tool,,,,,,,,,,,,,,,
1/26/2014,1009.45,,,,Salary,,,,,,,,,,,,,,,,
1/17/2014,-17.14,,,,Groceries,Publix,,,,,,,,,,,,,,,
1/15/2014,-37,,,,Parking Ticket,,,,,,,,,,,,,,,,
1/13/2014,-36.28,,,,Groceries,Trader Joes,,,,,,,,,,,,,,,
1/20/2014,,,,,Restaurant Meal,(7) cash-tokyo grill,,,,,,,,,,,,,,,
1/20/2014,-41.77,,,,Gas,Kangaroo,,,,,,,,,,,,,,,
1/20/2014,-33.95,,,,Groceries,Trader Joes,,,,,,,,,,,,,,,
1/26/2014,-2.36,,,,Coffee,Starbucks,,,,,,,,,,,,,,,
1/26/2014,-4.41,,,,Groceries,Water from Gas station,,,,,,,,,,,,,,,
1/25/2014,-8.87,,,,Restaurant Meal,Zaxbys,,,,,,,,,,,,,,,
1/25/2014,-24.55,,,,Groceries,Trader Joes,,,,,,,,,,,,,,,
1/26/2014,-27.76,,,,Gas,Love's off I-20,,,,,,,,,,,,,,,
1/24/2014,-69.38,,,,Medical Expense,Gastroentestrerolgy,,,,,,,,,,,,,,,
1/23/2014,-4.25,,,,Groceries,Gas Station,,,,,,,,,,,,,,,
1/23/2014,-26.64,,,,Education,Welding Supplies,,,,,,,,,,,,,,,
1/23/2014,-37.82,,,,Gas,,,,,,,,,,,,,,,,
1/24/2014,-1.65,,,,Coffee,First Citizens,,,,,,,,,,,,,,,
1/27/2014,2.36,,,,Coffee,Starbucks,,,,,,,,,,,,,,,
1/28/2014,-3.88,,,,Groceries,Water from gas station,,,,,,,,,,,,,,,
1/28/2014,-6,,,,Bar,Pawleys Front Porch,,,,,,,,,,,,,,,
1/29/2014,-5,,,,Bar,Publick House,,,,,,,,,,,,,,,
1/29/2014,-6.5,,,,Bar,Publick House,,,,,,,,,,,,,,,
1/29/2014,-10.12,,,,Restaurant Meal,Hibachi Houe,,,,,,,,,,,,,,,
1/29/2014,-16.58,,,,Groceries,Trader Joes,,,,,,,,,,,,,,,
1/29/2014,-23.09,,,,Bar,Publick House,,,,,,,,,,,,,,,
1/30/2014,-1.38,,,,Coffee,First Citizens,,,,,,,,,,,,,,,
1/30/2014,-15.99,,,,Groceries,Asian Market,,,,,,,,,,,,,,,
2/3/2014,-13.05,,,,Restaurant Meal,Santis,,,,,,,,,,,,,,,
2/3/2014,-21.36,,,,Beer Supplies,Bottles,,,,,,,,,,,,,,,
2/3/2014,-39,,,,Gas,Ravenel,,,,,,,,,,,,,,,
2/4/2014,-5.5,,,,Restaurant Meal,Subway,,,,,,,,,,,,,,,
2/5/2014,-6.86,,,,Restaurant Meal,Publix,,,,,,,,,,,,,,,
2/5/2014,-20,,,,Cash,,,,,,,,,,,,,,,,
2/6/2014,-8.02,,,,Restaurant Meal,Atlanta Bread,,,,,,,,,,,,,,,
1/31/2014,-875,,,,Rent,,,,,,,,,,,,,,,,
1/31/2014,-54.63,,,,Electricity,,,,,,,,,,,,,,,,
1/31/2014,-9.08,,,,Restaurant Meal,Subway,,,,,,,,,,,,,,,
1/31/2014,1009.46,,,,Salary,,,,,,,,,,,,,,,,
1/28/2014,-27.76,,,,AT&T Phone Bill,,,,,,,,,,,,,,,,
1/28/2014,-38.71,,,,Gas,Loves,,,,,,,,,,,,,,,
2/6/2014,-18.18,,,,Education,Welding Euipment Glasses,,,,,,,,,,,,,,,
2/7/2014,-29.3,,,,Groceries,Publix,,,,,,,,,,,,,,,
2/7/2014,-14,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
2/7/2014,-37.49,,,,Gas,Shell,,,,,,,,,,,,,,,
2/11/2014,-30.97,,,,Groceries,Publix,,,,,,,,,,,,,,,
2/12/2014,-10.14,,,,Restaurant Meal,Garden Bistro,,,,,,,,,,,,,,,
2/13/2014,-8.65,,,,Groceries,Trader Joes,,,,,,,,,,,,,,,
2/14/2014,-11.19,,,,Bar,?,,,,,,,,,,,,,,,
2/14/2014,-41.35,,,,Gas,Kangaroo,,,,,,,,,,,,,,,
2/18/2014,-13.01,,,,Groceries,Harris Teeter,,,,,,,,,,,,,,,
2/18/2014,-6,,,,Restaurant Meal,Home Team BBQ,,,,,,,,,,,,,,,
2/18/2014,-5.19,,,,Restaurant Meal,Chick-Filet,,,,,,,,,,,,,,,
2/18/2014,-11.94,,,,Cash,,,,,,,,,,,,,,,,
2/16/2014,-14.38,,,,Restaurant Meal,Bier Garden,,,,,,,,,,,,,,,
2/16/2014,-8.28,,,,Restaurant Meal,Raisin Cains,,,,,,,,,,,,,,,
2/3/2014,-51.46,,,,Internet Bill,,,,,,,,,,,,,,,,
2/13/2014,-27.76,,,,AT&T Phone Bill,,,,,,,,,,,,,,,,
2/14/2014,1009.45,,,,Salary,,,,,,,,,,,,,,,,
2/17/2014,-34.7,,,,Car Repair,Pep boys,,,,,,,,,,,,,,,
2/17/2014,-7.81,,,,Bike Lock,,,,,,,,,,,,,,,,
2/17/2014,-23.39,,,,Restaurant Meal,Five Loaves,,,,,,,,,,,,,,,
2/17/2014,-40.84,,,,Gas,,,,,,,,,,,,,,,,
2/19/2014,-23.47,,,,Groceries,Publix,,,,,,,,,,,,,,,
2/22/2014,-32.07,,,,Groceries,Trader Joes,,,,,,,,,,,,,,,
2/22/2014,-12.09,,,,Restaurant Meal,Publik House,,,,,,,,,,,,,,,
2/22/2014,-33.5,,,,Gas,Going to Fats,,,,,,,,,,,,,,,
2/22/2014,-27.63,,,,AT&T Phone Bill,,,,,,,,,,,,,,,,
2/24/2014,-3.79,,,,Groceries,Food Lion,,,,,,,,,,,,,,,
2/24/2014,-20,,,,Cash,Food Lion,,,,,,,,,,,,,,,
2/28/2014,1009.45,,,,Salary,,,,,,,,,,,,,,,,
2/28/2014,-8.72,,,,Restaurant Meal,Chick-Fil-A,,,,,,,,,,,,,,,
3/1/2014,-1,,,,Credtit Report,,,,,,,,,,,,,,,,
2/24/2014,-17.7,,,,Groceries,Asian Market,,,,,,,,,,,,,,,
2/25/2014,-42.07,,,,Gas,Exxon-In Columbia,,,,,,,,,,,,,,,
2/26/2014,-101.44,,,,Medical Expense,Consultants in Gastro Urea Test and Follow Up,,,,,,,,,,,,,,,
2/26/2014,-20,,,,Parking,,,,,,,,,,,,,,,,
2/27/2014,-14,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
3/3/2014,-5.13,,,,Education,Welding screen,,,,,,,,,,,,,,,
3/3/2014,-30.93,,,,Groceries,Trader Joes,,,,,,,,,,,,,,,
3/4/2014,-149,,,,Car Repair,cooling unit from amazon,,,,,,,,,,,,,,,
3/4/2014,-20,,,,Restaurant Meal,Takosushi,,,,,,,,,,,,,,,
3/4/2014,-875,,,,Rent,,,,,,,,,,,,,,,,
3/5/2014,-34.37,,,,Gas,West Columbia,,,,,,,,,,,,,,,
3/6/2014,-36.23,,,,Gas,Summerville,,,,,,,,,,,,,,,
3/6/2014,-8.28,,,,Restaurant Meal,Raisin Canes,,,,,,,,,,,,,,,
3/6/2014,-30.79,,,,Internet Bill,,,,,,,,,,,,,,,,
3/6/2014,-18.29,,,,Restaurant Meal,Shitty Chinese,,,,,,,,,,,,,,,
3/6/2014,0,,,,Coffee,Cash (1.70),,,,,,,,,,,,,,,
3/12/2014,-26,,,,Restaurant Meal,Camon,,,,,,,,,,,,,,,
3/12/2014,-11.9,,,,Bar,Carolina Ale House,,,,,,,,,,,,,,,
3/12/2014,-6.5,,,,Bar,Wine Down,,,,,,,,,,,,,,,
3/14/2014,-17.06,,,,Restaurant Meal,Rosewood Market,,,,,,,,,,,,,,,
3/15/2014,-5.98,,,,Restaurant Meal,Drakes,,,,,,,,,,,,,,,
3/15/2014,-29.47,,,,Groceries,Publix,,,,,,,,,,,,,,,
3/15/2014,-1.65,,,,Coffee,First Citizens,,,,,,,,,,,,,,,
3/15/2014,-14,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
3/11/2014,-14.95,,,,Credtit Report,,,,,,,,,,,,,,,,
3/14/2014,1009.45,,,,Salary,,,,,,,,,,,,,,,,
3/14/2014,-20,,,,Parking,,,,,,,,,,,,,,,,
3/17/2014,-11.85,,,,Restaurant Meal,Grillled Teriyaki,,,,,,,,,,,,,,,
3/17/2014,-6.11,,,,Kroger,,,,,,,,,,,,,,,,
3/20/2014,-1.38,,,,Coffee,First Citizens,,,,,,,,,,,,,,,
3/22/2014,-48.67,,,,Beer Supplies,Bottles,,,,,,,,,,,,,,,
3/22/2014,-1.38,,,,Coffee,First Citizens,,,,,,,,,,,,,,,
3/22/2014,-53.47,,,,Education,"Welding Supplies(Gloves, Do Rag)",,,,,,,,,,,,,,,
3/21/2014,-6.62,,,,Restaurant Meal,Kangaroo Express,,,,,,,,,,,,,,,
3/22/2014,-19.97,,,,Beer Supplies,Propane,,,,,,,,,,,,,,,
3/22/2014,-11.05,,,,Beer,Fuel,,,,,,,,,,,,,,,
3/22/2014,-12.16,,,,Restaurant Meal,Le Lee's Hot Kitchen,,,,,,,,,,,,,,,
3/23/2014,-20.12,,,,Groceries,BiLo,,,,,,,,,,,,,,,
3/23/2014,-24.26,,,,Groceries,Publix,,,,,,,,,,,,,,,
3/24/2014,-16,,,,Ticket,,,,,,,,,,,,,,,,
3/25/2014,-56,,,,Medical Expense,Vista Smiles-Cleaning,,,,,,,,,,,,,,,
3/25/2014,-14,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
3/25/2014,-10.34,,,,Restaurant Meal,Rosewood Market,,,,,,,,,,,,,,,
3/25/2014,-38.32,,,,Gas,Shell West Columbia,,,,,,,,,,,,,,,
3/28/2014,-9.81,,,,Restaurant Meal,Zaxby's,,,,,,,,,,,,,,,
3/28/2014,-10.4,,,,Restaurant Meal,Old Mexican,,,,,,,,,,,,,,,
3/29/2014,-86.39,,,,Computer Parts,Best Buy-Computer Charger,,,,,,,,,,,,,,,
3/28/2014,,,,-182.6,Hotel,Holidya Inn-dothan,,,,,,,,,,,,,,,
3/26/2014,,,,-7.55,Restaurant Meal,Popeyes,,,,,,,,,,,,,,,
3/28/2014,-7.98,,,,Restaurant Meal,Nickys Pizzeria,,,,,,,,,,,,,,,
